"","p_val","auc","avg_log2FC","pct.1","pct.2","p_val_adj"
"SSX2IP",1.16013575390471e-08,0.81140350877193,3.30047137763716,0.719,0.14,0.00013709324203892
"EIF4EBP1",1.18967551381052e-08,0.865131578947368,1.0803771628335,0.969,0.772,0.000140583955466989
"RPS25",1.22896474999586e-08,0.865405701754386,1.13802158427823,1,0.93,0.000145226764507011
"VOPP1",1.24546228737561e-08,0.831414473684211,1.37407165591538,0.875,0.193,0.000147176278499175
"AMPD3",1.35244687603624e-08,0.830592105263158,2.61666614718514,0.812,0.228,0.000159818647341202
"NAA25",1.45012665593292e-08,0.792214912280702,3.27556650084385,0.656,0.088,0.000171361466931594
"TGOLN2",1.45702642324875e-08,0.86047149122807,1.19048145158414,1,0.596,0.000172176812435304
"CD2AP",1.49903299524609e-08,0.835526315789474,2.29623137785312,0.844,0.263,0.00017714072904823
"MKRN1",1.51302138865359e-08,0.86047149122807,2.03261384943575,0.969,0.632,0.000178793737497194
"GM2A",1.55020064725325e-08,0.791392543859649,4.70325473374815,0.656,0.088,0.000183187210485916
"PCDH20",1.5850155408731e-08,0.175438596491228,-12.0262564812612,0,0.649,0.000187301286464975
"CTTN",1.6421893247314e-08,0.841282894736842,2.4515281528271,0.875,0.316,0.00019405751250351
"THBS1",1.67411633566003e-08,0.824013157894737,2.59036067734221,0.812,0.193,0.000197830327384945
"EGR1",1.93178383301369e-08,0.846217105263158,2.76442637003563,0.844,0.421,0.000228278895547228
"EVL",1.95716930882724e-08,0.832785087719298,2.81601619560035,0.844,0.263,0.000231278697224115
"NPM1",1.97802412544923e-08,0.860197368421053,1.07730398400231,0.969,0.912,0.000233743110904335
"FAM3C",2.02164936908131e-08,0.859923245614035,1.35859670454817,1,0.877,0.000238898305944338
"RPS4X",2.03059726906092e-08,0.859923245614035,1.05739827750978,1,0.947,0.000239955679284929
"FTH1",2.03817409614141e-08,0.859923245614035,0.95486257815617,0.969,1,0.00024085103294103
"LOC107051177",2.11674212922635e-08,0.830043859649123,2.70061755420183,0.812,0.263,0.000250135417410678
"CDK6",2.15774921086767e-08,0.734375,9.64024493622235,0.469,0,0.000254981224248233
"STRA6",2.15984251357647e-08,0.734375,9.55056643723114,0.469,0,0.000255228589829332
"CNTN3",2.15984251357647e-08,0.734375,9.00781569666542,0.469,0,0.000255228589829332
"EZR",2.16054067719122e-08,0.734375,10.5053153561362,0.469,0,0.000255311091823686
"SFRP2",2.16123903890827e-08,0.734375,13.002501896769,0.469,0,0.000255393617227791
"VSTM5",2.16123903890827e-08,0.734375,10.37592183442,0.469,0,0.000255393617227791
"KHDRBS3",2.21070284082746e-08,0.146655701754386,-3.35016676635718,0.375,0.86,0.000261238754700581
"FAAH",2.22936293321333e-08,0.784539473684211,4.00235563173408,0.625,0.088,0.00026344381781782
