"","p_val","auc","avg_log2FC","pct.1","pct.2","p_val_adj"
"DNAAF5",0.403940762191582,0.46875,-0.442740428068692,0.122,0.188,1
"AREL1",0.404158794895156,0.467905405405405,-1.26026715518359,0.135,0.188,1
"TAX1BP1",0.404456692757705,0.551309121621622,0.372506318016805,0.811,1,1
"MAEA",0.404792528602786,0.44995777027027,-0.478728711436888,0.581,0.75,1
"ACOT8",0.405216128010429,0.454391891891892,0.629083211676934,0.365,0.5,1
"BCL9",0.405240598359632,0.451646959459459,-0.268500933946798,0.473,0.625,1
"MIPEP",0.405873308203792,0.466427364864865,-0.389248611095323,0.149,0.219,1
"ZDHHC3",0.40625936222671,0.550464527027027,0.626396609242218,0.689,0.719,1
"SPATA13",0.407257256209624,0.468116554054054,-2.07350586759975,0.135,0.188,1
"GNA12",0.40727553214168,0.468116554054054,-1.67723232697977,0.135,0.188,1
"ZFR",0.407402716728274,0.545396959459459,0.595385958509872,0.432,0.344,1
"STXBP5",0.407739285903163,0.546663851351351,0.549800295739041,0.486,0.375,1
"BANF1",0.407770492518054,0.525971283783784,2.8129144473995,0.108,0.062,1
"SH2D2A",0.408043822440684,0.470861486486487,-0.761994388657729,0.108,0.156,1
"TBP",0.408594854587568,0.54222972972973,0.91174033293394,0.338,0.281,1
"NHP2",0.408634109555018,0.454180743243243,0.35633682581736,0.378,0.531,1
"SPC25",0.408996918313243,0.47191722972973,-0.260527550223219,0.095,0.156,1
"MRPS16",0.40930180341125,0.550464527027027,0.319837275787768,0.743,0.781,1
"ABHD17B",0.409609778320756,0.545185810810811,0.35702595649246,0.419,0.375,1
"PCDH19",0.409856706744828,0.532516891891892,3.89843735731918,0.176,0.125,1
"TRAPPC12",0.410070951159053,0.539907094594595,0.746105355015832,0.297,0.219,1
"LNPK",0.410106032350885,0.451646959459459,-0.402098443571345,0.514,0.625,1
"GSR",0.410366550900196,0.469172297297297,0.991979437071853,0.122,0.188,1
"ARNT2",0.410403558544783,0.468327702702703,-1.79178561030543,0.135,0.188,1
"VGLL4",0.410480493771171,0.462204391891892,-0.956533037559353,0.216,0.281,1
"SECISBP2",0.411559374121706,0.548353040540541,0.419385863188854,0.568,0.531,1
"COQ6",0.411798475540267,0.455025337837838,-0.978419151153429,0.405,0.406,1
"VAMP7",0.411832318950347,0.549197635135135,0.603969547558734,0.635,0.594,1
