"","p_val","auc","avg_log2FC","pct.1","pct.2","p_val_adj"
"FBXO33",0.648467716534864,0.518548827059465,-1.6484703936622,0.256,0.213,1
"ITGA11",0.648916271192406,0.512138570649209,-2.30625309378726,0.103,0.074,1
"TMEM115",0.648918101534869,0.512138570649209,-0.829755216878247,0.103,0.074,1
"RAP1A",0.64948658854535,0.521276595744681,-0.295803539751923,0.359,0.33,1
"COPG2",0.649688773615926,0.522640480087289,0.288432721760033,0.436,0.415,1
"RAPGEF1",0.64999826389322,0.516639388979815,-0.94380709051881,0.205,0.16,1
"LARP4B",0.650538778964574,0.480905619203492,-1.15196347217108,0.231,0.255,1
"ZHX3",0.651295540406902,0.520185488270595,-0.509904437023494,0.359,0.266,1
"HCFC2",0.651496539432256,0.479814511729405,-1.48197727755379,0.282,0.298,1
"WDR24",0.651564673436473,0.481178396072013,-0.749075573577339,0.231,0.245,1
"INTS13",0.651593069241791,0.485406437534097,-0.696256145148243,0.103,0.138,1
"LOC100859602",0.65167385729313,0.521685761047463,-0.375567722136038,0.41,0.351,1
"TTC30B",0.651709266112207,0.478723404255319,0.293586776575591,0.282,0.372,1
"TMX2",0.652026834228061,0.475040916530278,-0.324938929220613,0.923,0.787,1
"CDCA4",0.652062140349966,0.477223131478451,-0.673464026290998,0.436,0.447,1
"POLR2J",0.652259891433155,0.524413529732679,-0.290936241227388,0.718,0.606,1
"PPIG",0.652285211389133,0.475995635570104,-0.696969912212817,0.564,0.574,1
"FKBP15",0.652693644581126,0.513366066557556,-1.07001945350381,0.128,0.096,1
"TP53I3",0.652707621768432,0.483496999454446,-0.376487281894811,0.154,0.181,1
"FAIM",0.653651775160807,0.477632296781233,-0.397799984966733,0.41,0.426,1
"SPAG17",0.653658891212277,0.476268412438625,-0.883869138560998,0.513,0.564,1
"FCHO2",0.654647090911587,0.482269503546099,-1.32246608545058,0.179,0.223,1
"LOC107049174",0.655122904362687,0.517457719585379,0.927828007979125,0.231,0.191,1
"GID4",0.65513706628166,0.482542280414621,-0.690079576072904,0.179,0.213,1
"HSF2",0.655353312788319,0.477359519912711,0.714182411235556,0.436,0.457,1
"ALDH1L2",0.655504197162794,0.48595199127114,-1.8230718750366,0.103,0.128,1
"MAPRE2",0.655975532589794,0.477495908346972,-0.736143228981228,0.436,0.447,1
"DOCK10",0.656257409588403,0.484588106928532,-1.3222164814636,0.128,0.16,1
"COL8A2",0.656378472569342,0.511865793780687,-2.55281506520662,0.103,0.074,1
"EPHA2",0.656511807146321,0.514729950900164,1.13930635026848,0.154,0.128,1
"SEC14L3",0.656532677264606,0.514729950900164,0.432933059328577,0.154,0.128,1
"ISY1",0.656537314553026,0.514729950900164,0.468568042253661,0.154,0.128,1
"S100A1",0.656976290537205,0.478041462084015,1.0061522269816,0.41,0.426,1
"LYRM2",0.657649316126327,0.523322422258592,-0.33888122816856,0.59,0.511,1
"SURF4",0.658001831789319,0.515002727768685,1.6645953253453,0.154,0.138,1
"MSTO1",0.658222033238681,0.518003273322422,-0.404324108077876,0.256,0.213,1
"EPFIP1L",0.658246612204332,0.516775777414075,0.532788024327886,0.205,0.181,1
"FGFR2",0.65867801264408,0.475995635570104,0.767216537426723,0.641,0.66,1
"GMDS",0.6591285495598,0.484724495362793,-0.521360001555661,0.128,0.16,1
"MTERF2",0.659239020904999,0.513502454991817,0.713827845139131,0.128,0.106,1
"TLE4Z1",0.659392266310806,0.513093289689034,-2.43796330691526,0.128,0.096,1
"SLC19A1",0.659679866336907,0.517457719585379,0.838492538323574,0.231,0.202,1
"CNKSR2",0.659854251642173,0.476268412438625,-0.385382688174629,0.615,0.617,1
"SEC24A",0.659900407152609,0.515548281505728,0.846615460851138,0.179,0.149,1
"ACOT4",0.660119826679775,0.511729405346427,-1.03270370883543,0.103,0.074,1
"CABYR",0.660121606946221,0.511729405346427,-2.66492543152815,0.103,0.074,1
"MAP4K5",0.66022184072856,0.482815057283142,-0.633690900286506,0.179,0.213,1
"TCP11L2",0.66082872653163,0.516093835242771,-1.79342534448429,0.205,0.16,1
"FAM192A",0.661268396596245,0.475722858701582,-0.296054177481818,0.897,0.83,1
"KATNAL1",0.661387773018988,0.480769230769231,-1.08940270527549,0.256,0.287,1
"MET",0.661696142065582,0.512138570649209,2.18757286726174,0.103,0.085,1
"RAPGEF2",0.662011051002211,0.484860883797054,-0.588441495723438,0.128,0.16,1
"ZBTB41",0.662497131305688,0.513366066557556,-0.622979190664959,0.128,0.106,1
"NEK8",0.66275767089683,0.512956901254774,-1.19024498582191,0.128,0.096,1
"LGALSL",0.663304510017357,0.478723404255319,-0.666264194073623,0.385,0.394,1
"TECTB",0.663875029946585,0.511593016912166,-2.384545100129,0.103,0.074,1
"SFT2D2",0.663875029946585,0.511593016912166,-2.23416210235211,0.103,0.074,1
"RNF8",0.66407542340135,0.520867430441899,0.418252443180886,0.385,0.362,1
"DYNC1LI1",0.664139468864653,0.52291325695581,-0.445483166045621,0.59,0.521,1
"RFKL",0.664301023950035,0.520458265139116,-1.03320127567633,0.385,0.33,1
"FUK",0.664896437165911,0.484997272231315,-1.2639224914518,0.128,0.16,1
"EFNB1",0.665010663299891,0.486361156573923,-1.27924999188065,0.103,0.128,1
"UBQLN4",0.66533515690839,0.523049645390071,-0.473286206684363,0.641,0.543,1
"PRMT7",0.665885221714688,0.518003273322422,-0.296806631339178,0.282,0.223,1
"USP25",0.666059430017397,0.484451718494272,-2.2812481847775,0.154,0.17,1
"CHUK",0.666303566309663,0.516093835242771,0.266684125612219,0.205,0.17,1
"GALT",0.667014513926898,0.486088379705401,1.1046508608035,0.103,0.138,1
"HINT3",0.667048636422699,0.481860338243317,-0.920469002109059,0.231,0.255,1
"SEPT5",0.667750724249239,0.485133660665576,-0.451753537424742,0.128,0.16,1
"SLC25A43",0.667784717308882,0.514866339334424,-0.693225123629245,0.179,0.138,1
"MRPL2",0.667903928296197,0.480496453900709,-0.548915724076223,0.282,0.319,1
"RABL6",0.667950113901795,0.523049645390071,-0.476745920645924,0.667,0.574,1
"NAF1",0.668204135851438,0.481178396072013,-0.919632680379394,0.256,0.287,1
"DHCR24",0.668426723437255,0.515139116202946,-0.643911165991414,0.179,0.149,1
"CCDC77",0.668595605599763,0.514184397163121,0.334961900465628,0.154,0.128,1
"BRD2",0.669671091512283,0.522776868521549,-0.923896089614176,0.692,0.532,1
"VPS53",0.66979976559163,0.485542825968358,-2.06277182720924,0.128,0.149,1
"TAOK3",0.670426624324604,0.516639388979815,-1.13271683879257,0.231,0.191,1
"TRIO",0.670437038457895,0.483360611020186,-0.797240728923588,0.179,0.213,1
"ARIH2",0.670482474643594,0.482678668848882,-0.404187663371001,0.205,0.234,1
"AKR1B1L",0.671668055477092,0.477223131478451,-0.592136574302017,0.59,0.606,1
"GTF3C4",0.671738200173377,0.484451718494272,-1.89443838027119,0.154,0.181,1
"SLC7A5",0.671744553661517,0.484451718494272,-0.409861495436487,0.154,0.181,1
"GTF2H2",0.67174546127261,0.484451718494272,-1.09290400253151,0.154,0.181,1
"FUNDC1",0.672366838985258,0.476950354609929,-0.453776101951842,0.718,0.649,1
"TRIM41",0.672548332156666,0.511729405346427,1.17898882384381,0.103,0.085,1
"NT5DC1",0.672593930262127,0.520185488270595,-0.645771244061244,0.41,0.34,1
"SYNE3",0.672783197200814,0.481996726677578,-1.05440355331674,0.231,0.266,1
"BICD1",0.672825520956123,0.480360065466448,-0.565776517272826,0.308,0.34,1
"TUBB1",0.672989137521468,0.487861429350791,0.48173126819549,0.077,0.106,1
"TMEM206",0.674951133098037,0.47708674304419,-0.400893947553445,0.667,0.691,1
