"","p_val","auc","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
"POLDIP3.3",0.000612211082956364,0.660618697871281,0.440677559623431,0.69,0.332,1,"7","POLDIP3"
"C20H20ORF112.5",0.000612521951176314,0.634103074816382,1.46346535644588,0.448,0.197,1,"7","C20H20ORF112"
"LYAR.2",0.000613643815825852,0.655981575999004,1.3856031263677,0.586,0.305,1,"7","LYAR"
"PDXP.5",0.000615392585675706,0.622805925557077,0.725489844361058,0.414,0.155,1,"7","PDXP"
"MOCS1.2",0.00061561610015077,0.619631519980082,0.323183232313696,0.379,0.146,1,"7","MOCS1"
"AGK.2",0.000617375091894081,0.618511141541143,0.718959638766395,0.379,0.143,1,"7","AGK"
"KPNA3.3",0.00061850365434806,0.638895804805179,1.21172170259079,0.483,0.217,1,"7","KPNA3"
"GFI1.6",0.00061986464458995,0.676179509523217,0.643072486538776,0.828,0.482,1,"7","GFI1"
"NEK8.2",0.00062381248328963,0.578582098842276,2.54772935500024,0.207,0.054,1,"7","NEK8"
"ERP29.6",0.000624694135736184,0.67870036101083,0.899718760163976,0.793,0.523,1,"7","ERP29"
"UTP4.2",0.000625789895962039,0.597037221461471,1.53940827017714,0.276,0.088,1,"7","UTP4"
"APTX.1",0.000626420193098245,0.630804182746172,1.08925603741535,0.448,0.184,1,"7","APTX"
"DMD.4",0.000628050673590157,0.318218598282086,-2.46314413928293,0.31,0.608,1,"7","DMD"
"ASF1A.2",0.000633895779727057,0.642381426615212,0.704096394389623,0.517,0.233,1,"7","ASF1A"
"LOC107054464",0.000636616368000742,0.556361259803311,2.51325739321398,0.138,0.025,1,"7","LOC107054464"
"SMIM5.4",0.00063823028240771,0.64477779160961,0.68235933337872,0.552,0.244,1,"7","SMIM5"
"CDK15",0.000641061896034473,0.556330138180007,3.46118485358531,0.138,0.025,1,"7","CDK15"
"SMG7.2",0.000643398470769109,0.612971492593054,1.49311695432523,0.345,0.128,1,"7","SMG7"
"MRPL30.4",0.000643842678930962,0.658004481513756,0.807480045087324,0.655,0.319,1,"7","MRPL30"
"GRPEL2.3",0.000647558450192223,0.665816008963028,0.916754903003268,0.69,0.381,1,"7","GRPEL2"
"PPIG.2",0.000649680945359145,0.666749657662144,0.9785245663184,0.69,0.39,1,"7","PPIG"
"RWDD3.2",0.000650323185031027,0.641727872525831,0.345211232727502,0.517,0.231,1,"7","RWDD3"
"PRTG",0.000651604950906556,0.586860450641105,1.16634625008788,0.241,0.069,1,"7","PRTG"
"MRPL22.4",0.000652010743999211,0.662797211502552,0.476258987585578,0.69,0.356,1,"7","MRPL22"
"RSL1D1.2",0.000652903151008246,0.639829453504295,0.647799173116355,0.517,0.222,1,"7","RSL1D1"
"E2F3",0.000654618095493962,0.622712560687165,0.453819745050376,0.414,0.157,1,"7","E2F3"
"TSHZ3",0.000655657613173023,0.577243869040209,1.25273347822405,0.207,0.052,1,"7","TSHZ3"
"YAF2.1",0.000656714288308599,0.642692642848251,-0.517330926619443,0.552,0.235,1,"7","YAF2"
"TRMT61A.6",0.000660220114942298,0.658191211253579,0.980658226151439,0.621,0.325,1,"7","TRMT61A"
"CRY2.2",0.000661518549072526,0.637370845263289,0.653546216214243,0.483,0.213,1,"7","CRY2"
"ADAMTS3.5",0.000663169913552563,0.351083032490975,-9.62238556055905,0,0.298,1,"7","ADAMTS3"
"GLRX2.2",0.000667219982283119,0.656790738204905,0.725497068179672,0.655,0.314,1,"7","GLRX2"
"SLC37A3.1",0.000673922732247431,0.607618573384788,-1.03707993748009,0.345,0.114,1,"7","SLC37A3"
"MRPS26",0.000674161474028381,0.67098219843147,0.472537746345292,0.759,0.435,1,"7","MRPS26"
"ZONADHL.6",0.000676398105528954,0.324287314826341,-4.77917979986596,0.276,0.522,1,"7","ZONADHL"
"HAO1.1",0.000677246800936956,0.600834059504544,0.256861205317946,0.31,0.097,1,"7","HAO1"
"RNPS1.2",0.000677283212044156,0.671697995767459,0.681515763345292,0.724,0.446,1,"7","RNPS1"
"GTF2E2.3",0.000679454673520511,0.642661521224947,0.636851338277122,0.517,0.238,1,"7","GTF2E2"
"POMP.3",0.000679749774235702,0.67636623926304,0.939736593577001,0.793,0.505,1,"7","POMP"
"APP.5",0.000679874774261722,0.31302128719034,-0.728863006162323,0.931,0.921,1,"7","APP"
"TAF1A.1",0.000680942774246842,0.609423627536412,0.335405043313825,0.345,0.119,1,"7","TAF1A"
"MYEF2.2",0.000686939727617833,0.651500062243247,-0.310344075980382,0.621,0.283,1,"7","MYEF2"
"CENPC",0.000687556773634621,0.566849246856716,1.63396190202009,0.172,0.038,1,"7","CENPC"
"MCEE",0.000689443129288031,0.634507655919333,0.552759913671008,0.483,0.202,1,"7","MCEE"
"MROH2BL5",0.000692164252858323,0.544037096974978,1.55532145278052,0.103,0.014,1,"7","MROH2BL5"
"LRRC6.6",0.000694758914665805,0.656790738204905,1.32614114041679,0.655,0.318,1,"7","LRRC6"
"UBE2K.5",0.000695012146062278,0.669426117266277,1.53179731561033,0.759,0.422,1,"7","UBE2K"
"LOC107048987.4",0.000696876389916377,0.659436076185734,0.810006743852139,0.621,0.339,1,"7","LOC107048987"
"IMP4.6",0.000699480834507142,0.65128221088012,0.918556993148905,0.586,0.285,1,"7","IMP4"
"ITPA.6",0.00071274106606693,0.664540022407569,0.55920438955046,0.69,0.381,1,"7","ITPA"
"NIFK.2",0.000716975644709522,0.661988049296651,0.556316071944972,0.724,0.357,1,"7","NIFK"
"NOL9",0.000717849845905319,0.622805925557077,0.333630697252805,0.414,0.161,1,"7","NOL9"
"EEF1A1.3",0.000724189027886711,0.685889455994025,0.51496336755209,0.897,0.874,1,"7","EEF1A1"
"PDCD11.3",0.000725347907190852,0.601674343333748,0.938131242507047,0.31,0.101,1,"7","PDCD11"
"PLEK2",0.000725779822532476,0.555769948960538,1.35907188816391,0.138,0.025,1,"7","PLEK2"
"POLL.4",0.000728395182863482,0.613593925059131,1.63959671501594,0.345,0.134,1,"7","POLL"
